Client_ID,Service,Budget,Duration,Satisfaction
1,Web Development,5000,30,1
2,Mobile App,7000,45,1
3,AI Solution,12000,60,1
4,Web Development,4500,25,0
5,Cloud Service,10000,50,1
6,AI Solution,13000,65,1
7,Mobile App,7500,40,1
8,Cloud Service,9000,55,0
9,Web Development,6000,35,1
10,AI Solution,14000,70,1
11,Mobile App,7200,42,1
12,Cloud Service,9500,52,0
13,Web Development,5500,32,1
14,AI Solution,12500,63,1
15,Mobile App,8000,43,1
16,Cloud Service,9200,53,0
17,Web Development,6200,34,1
18,AI Solution,13500,66,1
19,Mobile App,7800,44,1
20,Cloud Service,9800,54,0
21,Web Development,5800,31,1
22,AI Solution,12800,61,1
23,Mobile App,7900,41,1
24,Cloud Service,9400,51,0
25,Web Development,6100,33,1
26,AI Solution,13800,68,1
27,Mobile App,8100,46,1
28,Cloud Service,9600,56,0
29,Web Development,5900,29,1
30,AI Solution,14500,72,1
